Año,Meses,ID Kiosco VD,Departamento,Municipio,Edad,Grupo étnico,Nivel de estudios,Género,Estrato,Habita en sector,Ocupacion,Situación Particular,Nota Final Examen,Curso,Certificado ,Fecha Inscripción,Fecha Certificado
2016,Septiembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 46 a 59,Ninguno,Técnico,Femenino,3,Urbano,Microempresario,Ninguna de las anteriores,0,Activismo Digital,NO,28/09/2016,No ha sido descargado
2016,Julio,Ciudadano,Tolima,Ibagué,De 18 a 25,Ninguno,Postgrado,Femenino,3,Urbano,Docente,Ninguna de las anteriores,0,Formación a Formadores en Alfabetización Digital,NO,15/07/2016,No ha sido descargado
2016,Julio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Profesional,Femenino,3,Urbano,Empleado,Ninguna de las anteriores,0,Apropiación Social de las TIC,NO,22/07/2016,No ha sido descargado
2017,Junio,Ciudadano,Antioquia,Medellín,De 18 a 25,Ninguno,Tecnólogo,Masculino,3,Urbano,Estudiante,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,04/06/2017,No ha sido descargado
2016,Julio,Ciudadano,Cundinamarca,Fusagasugá,De 26 a 45,Raizales,Técnico,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,26/07/2016,No ha sido descargado
2016,Mayo,Ciudadano,Boyacá,Susacon,De 18 a 25,Ninguno,Bachillerato completo,Masculino,2,Urbano,Estudiante,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,23/05/2016,No ha sido descargado
2017,Julio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Tecnólogo,Masculino,4,Urbano,Independiente,Ninguna de las anteriores,0,Activismo Digital,NO,03/07/2017,No ha sido descargado
2016,Agosto,Ciudadano,Cundinamarca,Soacha,De 26 a 45,Ninguno,Primaria completa,Masculino,3,Urbano,Desempleado,Cabeza de hogar,100,Inclusión para Personas con Discapacidad a través de las TIC,SI,29/08/2016,"miércoles, 28 de junio de 2017, 12:43"
2017,Julio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Bachillerato completo,Femenino,1,Urbano,Estudiante,Ninguna de las anteriores,0,Mujeres y TIC,NO,09/07/2017,No ha sido descargado
2016,Septiembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Profesional,Femenino,3,Urbano,Docente,Ninguna de las anteriores,90,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,14/09/2016,No ha sido descargado
2017,Julio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,05/07/2017,No ha sido descargado
2017,Julio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,05/07/2017,No ha sido descargado
2017,Julio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,05/07/2017,No ha sido descargado
2017,Julio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,05/07/2017,No ha sido descargado
2017,Mayo,Ciudadano,Antioquia,Urrao,De 18 a 25,Ninguno,Técnico,Masculino,1,Urbano,Empleado,"Personas victimas de violencia (desplazados, afectados por minas, con pérdida familiar, unidad para las víctimas)",0,Apropiación Social de las TIC,NO,31/05/2017,No ha sido descargado
2016,Mayo,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Bachillerato completo,Masculino,1,Urbano,Estudiante,Ninguna de las anteriores,90,Apropiación Social de las TIC,SI,17/05/2016,"miércoles, 15 de junio de 2016, 22:01"
2016,Mayo,Ciudadano,Cundinamarca,Soacha,De 26 a 45,Ninguno,Bachillerato completo,Femenino,2,Urbano,Desempleado,Cabeza de hogar,0,Apropiación Social de las TIC,NO,03/05/2016,No ha sido descargado
2017,Agosto,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Bachillerato Completo,Femenino,1,Urbano,empleado,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,04/08/2017,No ha sido descargado
2017,Agosto,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Bachillerato Completo,Femenino,1,Urbano,empleado,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,04/08/2017,No ha sido descargado
2017,Julio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Masculino,3,Urbano,Labores de hogar,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,05/07/2017,No ha sido descargado
2016,Julio,Ciudadano,Cundinamarca,Zipaquirá,De 18 a 25,Ninguno,Profesional,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,18/07/2016,No ha sido descargado
2016,Julio,Ciudadano,Caquetá,Florencia,De 26 a 45,Ninguno,Postgrado,Femenino,2,Urbano,Desempleado,Ninguna de las anteriores,0,Formación a Formadores en Alfabetización Digital,NO,16/07/2016,No ha sido descargado
2017,Junio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,100,Uso Responsable de las TIC 0 En TIC Confío,SI,28/06/2017,No ha sido descargado
2017,Junio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,100,Uso Responsable de las TIC 0 En TIC Confío,SI,28/06/2017,No ha sido descargado
2016,Mayo,Ciudadano,Tolima,Aguazul,De 26 a 45,Ninguno,Postgrado,Femenino,2,Urbano,Independiente,Cabeza de hogar,80,"Internet: Buscadores, Correo Electrónico y Descargas",SI,06/05/2016,No ha sido descargado
2017,Agosto,Ciudadano,Meta,Acacías,De 14 a 17,Afrodescendientes,Bachillerato incompleto,Femenino,1,Rural,Estudiante,Ninguna de las anteriores,90,Uso Responsable de las TIC 0 En TIC Confío,SI,01/08/2017 8:05:13 a. m.,No ha sido descargado
2016,Abril,Ciudadano,Casanare,Monterrey,De 18 a 25,Ninguno,Bachillerato completo,Femenino,1,Urbano,Desempleado,Cabeza de hogar,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,27/04/2016,No ha sido descargado
2017,Marzo,Ciudadano,Santander,Barrancabermeja,De 26 a 45,Ninguno,Técnico,Femenino,2,Urbano,Otro,"Personas victimas de violencia (desplazados, afectados por minas, con pérdida familiar, unidad para las víctimas)",0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,01/03/2017,No ha sido descargado
2016,Octubre,Ciudadano,Nariño,Launion Nariño,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,1,Rural,Estudiante,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,07/10/2016,No ha sido descargado
2016,Agosto,Ciudadano,Tolima,Espinal,De 46 a 59,Ninguno,Postgrado,Femenino,3,Urbano,Independiente,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,03/08/2016,No ha sido descargado
2016,Mayo,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,80,"Internet: Buscadores, Correo Electrónico y Descargas",SI,11/05/2016,"jueves, 21 de julio de 2016, 20:13"
2017,Mayo,Ciudadano,Antioquia,Envigado,De 46 a 59,Ninguno,Técnico,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,90,Uso Responsable de las TIC 0 En TIC Confío,SI,30/05/2017,No ha sido descargado
2016,Junio,Ciudadano,Sucre,Sincelejo,De 26 a 45,Ninguno,Tecnólogo,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,0,Apropiación Social de las TIC,NO,27/06/2016,No ha sido descargado
2016,Mayo,Ciudadano,Atlántico,Barranquilla,De 18 a 25,Ninguno,Profesional,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,90,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,01/05/2016,"domingo, 26 de junio de 2016, 22:13"
2016,Septiembre,Ciudadano,Putumayo,Mocoa,De 46 a 59,Ninguno,Profesional,Femenino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,16/09/2016,No ha sido descargado
2016,Julio,Ciudadano,Casanare,Yopal,De 18 a 25,Ninguno,Tecnólogo,Masculino,1,Rural,Gestor De Tic,Ninguna de las anteriores,100,Inclusión para Personas con Discapacidad a través de las TIC,SI,27/07/2016,No ha sido descargado
2016,Julio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Postgrado,Femenino,4,Urbano,Funcionario Público,Ninguna de las anteriores,80,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,15/07/2016,No ha sido descargado
2016,Septiembre,Ciudadano,Norte De Santander,Pamplona,De 46 a 59,Ninguno,Profesional,Femenino,1,Urbano,Docente,Ninguna de las anteriores,0,Inclusión para Personas con Discapacidad a través de las TIC,NO,26/09/2016,No ha sido descargado
2016,Noviembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 46 a 59,Ninguno,Profesional,Femenino,3,Urbano,Docente,Cabeza de hogar,0,Apropiación Social de las TIC,NO,08/11/2016,No ha sido descargado
2016,Abril,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Postgrado,Femenino,3,Urbano,Empresario,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,27/04/2016,No ha sido descargado
2017,Agosto,Ciudadano,Antioquia,Medellín,De 26 a 45,Ninguno,Postgrado,Femenino,4,Urbano,Independiente,Ninguna de las anteriores,0,Mujeres y TIC,NO,18/08/2017 3:18:36 p. m.,No ha sido descargado
2017,Abril,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Técnico,Femenino,3,Urbano,Docente,Ninguna de las anteriores,0,Mujeres y TIC,NO,20/04/2017,No ha sido descargado
2017,Abril,Ciudadano,Quindío,Armenia,De 26 a 45,Ninguno,Profesional,Masculino,4,Urbano,Docente,Ninguna de las anteriores,0,Activismo Digital,NO,04/04/2017,No ha sido descargado
2016,Julio,Ciudadano,Boyacá,Duitama,De 26 a 45,Ninguno,Profesional,Femenino,3,Urbano,Docente,Ninguna de las anteriores,0,Formación a Formadores en Alfabetización Digital,NO,11/07/2016,No ha sido descargado
2017,Enero,Ciudadano,Boyacá,Villa De Leyva,De 26 a 45,Ninguno,Profesional,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,0,Activismo Digital,NO,18/01/2017,No ha sido descargado
2016,Septiembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,13/09/2016,"jueves, 29 de septiembre de 2016, 21:47"
2016,Septiembre,Ciudadano,Cundinamarca,Soacha,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,90,Uso Responsable de las TIC 0 En TIC Confío,SI,15/09/2016,"martes, 4 de octubre de 2016, 20:01"
2016,Mayo,Ciudadano,Meta,Acacías,De 18 a 25,Ninguno,Profesional,Masculino,2,Urbano,Empleado,Ninguna de las anteriores,90,"Internet: Buscadores, Correo Electrónico y Descargas",SI,05/05/2016,No ha sido descargado
2017,Mayo,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Postgrado,Femenino,2,Urbano,Docente,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,28/05/2017,No ha sido descargado
2017,Febrero,Ciudadano,Cauca,Popayán,De 18 a 25,Ninguno,Tecnólogo,Masculino,1,Urbano,Empleado,Ninguna de las anteriores,100,Activismo Digital,SI,01/02/2017,No ha sido descargado
2016,Junio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Postgrado,Femenino,3,Urbano,Docente,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,13/06/2016,No ha sido descargado
2016,Mayo,Ciudadano,Boyacá,Tunja,De 26 a 45,Ninguno,Técnico,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,100,Uso Responsable de las TIC 0 En TIC Confío,SI,19/05/2016,No ha sido descargado
2016,Agosto,Ciudadano,Huila,Neiva,De 26 a 45,Ninguno,Profesional,Femenino,2,Urbano,Independiente,Ninguna de las anteriores,0,Formación a Formadores en Alfabetización Digital,NO,01/08/2016,No ha sido descargado
2016,Mayo,Ciudadano,Risaralda,Pereira,De 18 a 25,Ninguno,Bachillerato completo,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,Mujeres y TIC,NO,09/05/2016,No ha sido descargado
2016,Septiembre,Ciudadano,Meta,Lejanías,De 14 a 17,Ninguno,Bachillerato incompleto,Masculino,1,Rural,Estudiante,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,21/09/2016,No ha sido descargado
2016,Diciembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Tecnólogo,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,08/12/2016,No ha sido descargado
2016,Julio,Ciudadano,Meta,Villavicencio,De 26 a 45,Ninguno,Profesional,Masculino,5,Urbano,Otro,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,05/07/2016,No ha sido descargado
2017,Agosto,Ciudadano,Boyacá,Rondón,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Rural,Estudiante,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,09/08/2017 10:09:59 a. m.,No ha sido descargado
2016,Mayo,Ciudadano,Meta,Villavicencio,De 26 a 45,Ninguno,Profesional,Femenino,3,Urbano,Funcionario Público,Ninguna de las anteriores,80,"Internet: Buscadores, Correo Electrónico y Descargas",SI,20/05/2016,No ha sido descargado
2016,Octubre,Ciudadano,Cesar,Valledupar,De 26 a 45,Ninguno,Bachillerato completo,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,17/10/2016,No ha sido descargado
2016,Mayo,Ciudadano,Meta,Chitagá,De 26 a 45,Ninguno,Postgrado,Femenino,2,Urbano,Docente,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,23/05/2016,No ha sido descargado
2016,Mayo,Ciudadano,Córdoba,San Andres De Sotavento,De 26 a 45,Ninguno,Tecnólogo,Masculino,1,Rural,Labores De Hogar,Ninguna de las anteriores,0,Apropiación Social de las TIC,NO,11/05/2016,No ha sido descargado
2017,Junio,Ciudadano,Meta,Acacías,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,1,Rural,Estudiante,Beneficiarios del programa Red Unidos de la ANSPE,100,Uso Responsable de las TIC 0 En TIC Confío,SI,30/06/2017,No ha sido descargado
2016,Septiembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 14 a 17,Ninguno,Bachillerato incompleto,Masculino,3,Rural,Funcionario Público,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,21/09/2016,No ha sido descargado
2017,Enero,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Profesional,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,80,Formación a Formadores en Alfabetización Digital,SI,16/01/2017,"jueves, 9 de marzo de 2017, 14:32"
2016,Septiembre,Ciudadano,Cundinamarca,Sopó,De 26 a 45,Ninguno,Postgrado,Femenino,2,Rural,Docente,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,26/09/2016,No ha sido descargado
2017,Abril,Ciudadano,Tolima,Ibague,De 18 a 25,Ninguno,Profesional,Femenino,2,Urbano,Otro,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,12/04/2017,No ha sido descargado
2016,Julio,Ciudadano,Nariño,Pasto,De 26 a 45,Ninguno,Postgrado,Femenino,4,Urbano,Empleado,Cabeza de hogar,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,18/07/2016,No ha sido descargado
2016,Julio,Ciudadano,Cundinamarca,Mosquera,De 18 a 25,Ninguno,Técnico,Femenino,3,Urbano,Docente,Ninguna de las anteriores,40,Uso Responsable de las TIC 0 En TIC Confío,NO,18/07/2016,No ha sido descargado
2017,Marzo,Ciudadano,Sucre,Sincelejo,De 26 a 45,Ninguno,Postgrado,Femenino,1,Urbano,Empleado,Ninguna de las anteriores,80,Formación a Formadores en Alfabetización Digital,SI,21/03/2017,No ha sido descargado
2016,Abril,Ciudadano,Caldas,Manizales,De 26 a 45,Ninguno,Profesional,Masculino,3,Urbano,Independiente,Ninguna de las anteriores,0,Activismo Digital,NO,25/04/2016,No ha sido descargado
2016,Agosto,Ciudadano,Caldas,Victoria,De 18 a 25,Ninguno,Profesional,Femenino,2,Urbano,Empleado,Ninguna de las anteriores,0,Mujeres y TIC,NO,03/08/2016,No ha sido descargado
2016,Septiembre,Ciudadano,Risaralda,Pereira,De 26 a 45,Ninguno,Postgrado,Masculino,3,Urbano,Docente,Ninguna de las anteriores,0,Inclusión para Personas con Discapacidad a través de las TIC,NO,22/09/2016,No ha sido descargado
2016,Julio,Ciudadano,Atlántico,Barranquilla,De 18 a 25,Ninguno,Postgrado,Femenino,2,Urbano,Empleado,Ninguna de las anteriores,80,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,17/07/2016,"miércoles, 7 de septiembre de 2016, 23:26"
2017,Enero,Ciudadano,Huila,Garzón,De 14 a 17,Ninguno,Técnico,Femenino,1,Rural,Estudiante,Ninguna de las anteriores,80,Uso Responsable de las TIC 0 En TIC Confío,SI,27/01/2017,"lunes, 27 de febrero de 2017, 11:59"
2016,Octubre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 26 a 45,Ninguno,Profesional,Masculino,3,Urbano,Desempleado,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,21/10/2016,No ha sido descargado
2017,Julio,Ciudadano,Casanare,Monterrey,De 26 a 45,Ninguno,Postgrado,Masculino,3,Urbano,Independiente,Ninguna de las anteriores,60,"Internet: Buscadores, Correo Electrónico y Descargas",NO,07/07/2017,No ha sido descargado
2016,Mayo,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,13/05/2016,No ha sido descargado
2016,Abril,Ciudadano,Antioquia,Medellín,De 26 a 45,Afrodescendientes,Postgrado,Femenino,4,Urbano,Docente,Cabeza de hogar,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,26/04/2016,No ha sido descargado
2016,Noviembre,Ciudadano,Tolima,Murillo,De 18 a 25,Ninguno,Bachillerato completo,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,05/11/2016,No ha sido descargado
2016,Octubre,Ciudadano,Nariño,Pamplona,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Docente,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,21/10/2016,No ha sido descargado
2016,Noviembre,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Afrodescendientes,Profesional,Femenino,1,Urbano,Docente,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,02/11/2016,No ha sido descargado
2016,Noviembre,Ciudadano,Norte de Santander,Los Patios,De 46 a 59,Ninguno,Profesional,Femenino,2,Urbano,Docente,Ninguna de las anteriores,0,"Internet: Buscadores, Correo Electrónico y Descargas",NO,23/11/2016,No ha sido descargado
2017,Marzo,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 18 a 25,Ninguno,Profesional,Femenino,3,Urbano,Otro,Ninguna de las anteriores,90,Activismo Digital,SI,10/03/2017,"viernes, 24 de marzo de 2017, 14:58"
2017,Febrero,Ciudadano,Huila,Garzón,De 14 a 17,Ninguno,Bachillerato incompleto,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,80,Apropiación Social de las TIC,SI,17/02/2017,"martes, 7 de marzo de 2017, 17:47"
2016,Septiembre,Ciudadano,Antioquia,Medellín,De 18 a 25,Ninguno,Bachillerato completo,Masculino,2,Urbano,Empleado,Ninguna de las anteriores,90,Uso Responsable de las TIC 0 En TIC Confío,SI,22/09/2016,No ha sido descargado
